timestamp,level,module,service,error_code,message
2026-07-13 09:00:01,INFO,,auth-service,,User authentication service started
2026-07-13 09:01:14,DEBUG,,database,,Connection pool initialized
2026-07-13 09:02:22,INFO,,api-gateway,,Request received from client
2026-07-13 09:03:18,WARNING,,database,,Slow database query detected
2026-07-13 09:04:30,ERROR,,payment-service,ERR-500,Payment processing failed
2026-07-13 09:05:45,INFO,,auth-service,,User login successful
2026-07-13 09:06:12,WARNING,,memory-service,,High memory usage detected
2026-07-13 09:07:33,CRITICAL,,database,DB-001,Database connection lost
2026-07-13 09:08:10,ERROR,,api-gateway,API-503,Upstream service unavailable
2026-07-13 09:09:27,INFO,,database,,Database connection restored
2026-07-13 10:10:11,DEBUG,,cache-service,,Cache refresh started
2026-07-13 10:11:29,ERROR,,auth-service,AUTH-401,Invalid authentication token
2026-07-13 10:12:42,WARNING,,api-gateway,,Request latency exceeded threshold
2026-07-13 10:13:56,INFO,,payment-service,,Payment retry completed successfully
2026-07-13 10:14:21,CRITICAL,,security-service,SEC-001,Multiple failed login attempts detected
2026-07-13 10:15:40,INFO,,security-service,,Suspicious session blocked
2026-07-13 11:16:08,ERROR,,database,DB-500,Query execution failed
2026-07-13 11:17:35,WARNING,,disk-service,,Disk usage reached 85 percent
2026-07-13 11:18:44,INFO,,monitoring-service,,Health check completed
2026-07-13 11:19:59,DEBUG,,monitoring-service,,Metrics collection completed
